alpha_length,beta_width,gamma_length,delta_width,epsilon_type
6.252272746999323,3.157711925648727,2.3009687807771524,1.1523638860723893,type3
5.725240630027916,3.198972730083699,2.7740813692533335,1.925908163580941,type1
6.3775814866235745,2.7575893697212486,5.075236745016941,0.45084820478498666,type2
7.10411478081866,3.1498690897792314,4.8342516671628974,1.5830753517935618,type3
5.645652698979631,3.1760211635184326,3.7232131946230993,0.797004210036945,type3
5.64566632573218,2.7428288902486617,3.9664961946234563,0.5974166474806184,type3
7.150746636871135,3.852283039792245,6.0086902165876275,1.118656926434536,type3
6.476970825196914,3.2537481559920685,2.718834355648939,0.4132158349612757,type2
5.45033625967399,2.5377394962028608,4.7228913908592665,0.7792265279361417,type3
6.29032483617635,3.3323180517125466,3.4041409317163462,0.28961280163247516,type3
5.455363314965656,2.6308868818022515,3.376881082320092,2.6931911010164558,type1
5.453444304536687,3.3884463796092543,5.6938472594974545,1.2268002994985137,type3
6.040828685399808,3.5481960989731833,5.212732774218932,0.6682086139256349,type2
4.251977396934028,2.6971066031087645,5.191776959361124,1.3626247321580087,type2
4.408318199014182,3.464251735575058,6.057642700591619,1.1146306822349692,type2
5.373301350729992,3.227495798582694,3.7969667612736555,1.0320631043547506,type2
4.999350170122428,3.4034858687976306,4.960237229479136,1.666766692033003,type3
6.100825286054077,3.865620982541197,3.213930508395517,1.7757058596359518,type3
5.0863400173173945,2.9444831101187656,4.330532780379658,0.7968191278159991,type2
4.667787927891708,2.7258934493262794,3.530948224312875,0.7623781371100431,type2
7.05648847820489,2.667508795261025,3.930712898387184,0.9909607101647505,type3
5.652605670596175,2.6992015774648612,4.807476364768968,-0.5494600851990445,type2
5.896048409890977,3.016846264951935,2.319931597509088,0.04845479272910014,type1
4.657459005442831,3.1966953491711565,7.442601605206409,2.2388244432578386,type2
5.388162338644098,3.168977043711908,1.9894094085605243,2.4501754622609755,type2
5.932065749459189,3.40568879708549,1.6230280414935914,1.0107326099371525,type1
4.884675330739489,3.0555908135075,5.798275137360119,1.6381832919223824,type1
6.151829355226908,3.675019653177646,5.1533263413747665,1.4365501174530875,type3
5.341469887367392,2.9361975617076785,4.8584508780117925,3.5399494144259807,type3
5.59789418767158,4.219672741633536,4.865888096305133,2.0508769326902785,type1
5.340583511849601,3.3190369595389524,3.73844567978943,1.1027826304746173,type1
7.377390893142418,2.681422250740998,2.180832306184936,0.47378926514367636,type3
5.828797303467515,2.5895162258337217,3.893416022420958,-0.020899203395755128,type2
4.962099928966603,3.2574631385545696,2.568195387738683,1.3546323632590895,type1
6.522712277045647,2.953911002309884,5.476210730815242,0.6251734335839294,type3
4.826699770524051,3.3570202124595996,3.5011790085562358,0.11908718070576763,type2
6.013356783853947,3.253492178566624,2.30712493364518,0.7086046079756798,type1
4.213473797179786,3.0186835675575447,3.194360918690731,0.3780235172530598,type2
4.737605579414303,2.685878701230586,4.486759359525099,2.4822276426551495,type3
6.003394825771372,2.398615693385078,2.7678447870650045,1.8700462152815822,type1
6.452927261396191,2.857998570611181,2.3128921038030805,1.1939407925993708,type2
5.982235673387676,3.4182514815590928,4.188889492225766,2.3247575455564196,type1
5.744011925617761,3.1420603099759874,4.191141165151352,1.25879991381219,type2
5.59008393266089,2.5143323251538447,2.8677800113468113,0.5454240069905195,type3
4.612826747995035,3.124467798116008,2.930972582111752,2.3575742987249395,type3
5.242529307032392,3.2156864732834,4.16840788974944,1.6095716332003405,type1
5.457669820103376,2.6699413024335126,1.2113715589647094,0.41169292271189306,type2
6.7174114477617,3.1161017955565766,1.2828637570972625,1.0553426046564578,type1
6.125203180341823,3.07502974893178,2.4955381705957125,0.5345301274275844,type1
4.376676671048931,2.558522771932832,3.3843330129871485,0.14907220446710445,type2
6.10898969459768,3.2038485649497614,4.307197315452488,1.9038949361240474,type2
5.520381707254457,3.2911373463383407,6.356626941831211,2.651156646757299,type2
5.278154739746054,3.515712034565369,5.269480936835554,0.13708864389745257,type3
6.34769131973792,3.503134882375008,3.478508187264368,1.6278566198848339,type1
6.695729603671639,2.4576021717784506,3.7265314740912676,0.7055116474674115,type1
6.612962498866445,2.6467352328364973,1.9955483182374563,0.829784708338831,type3
5.14344945572521,3.2714651648997237,3.7274168806533936,0.7497806175784594,type2
5.583353728043492,3.2709279588922495,3.2519607955005565,0.5433670150433397,type3
6.114948648064958,3.2714705051116004,4.327984666195038,1.2368764372380685,type3
6.649702455511558,4.706674540981529,2.304073539347911,0.5684779115276113,type3
5.442285382588409,3.2954829195980615,4.674049865064463,1.4055471875926775,type1
5.685903049369031,3.5382932252776573,6.457620486884537,1.1618190368186558,type3
4.921741971574996,3.4602207583020768,3.5685821387159304,1.0183994843815285,type1
4.847148502013043,3.3300982380614927,4.4670126308941365,0.5102516168483856,type1
6.514396432587184,2.9144342248046513,4.9746534254115575,0.761653788768067,type1
6.965679223713783,3.3763567648121047,3.053851969480928,1.7740973316275745,type2
5.780231599088323,2.717685157748844,4.154402767986333,1.5806970625945294,type1
6.67293230525038,2.948167999101796,3.7821626253759586,0.4570580139531012,type1
6.140157900789536,2.8412936744334854,3.9319099334459438,1.2754925521262117,type2
5.304550603677747,3.0852058799361184,2.3995027804143785,1.7710542137625596,type1
6.139958352571983,4.045303183669608,3.803137906695739,-0.0687480136522427,type3
7.1165703501667545,2.2470759671855483,4.636476992591991,1.6129537462087506,type3
5.81026438753874,3.3450918818610407,6.314012749719273,0.6964059432011565,type1
7.1386542343256245,2.3565321753884496,5.448316653909964,1.6336549881308011,type2
3.665611563605512,2.8470692977105436,7.549601125220339,0.6199230410276871,type3
6.522179078631436,3.518248756695967,2.409468289317033,-0.1717103965050346,type2
5.912249066637682,3.0776404082110487,5.295284320628394,-0.03693225279120371,type2
5.59182389911333,2.586569745490398,4.082681930099499,1.2365445594626503,type3
5.916161444524467,2.7424194050182136,7.614053162463103,1.3973891013083262,type2
4.1903178008812585,3.3422270320419103,2.3373950177749334,0.5127193649206494,type3
5.657672333094865,2.735942348361631,2.282089557761834,1.6853302686708043,type2
6.136403434354749,3.143077193520249,2.705068944018521,-0.06275524732440951,type3
7.0666520571354585,3.06959589115864,0.021943525214739523,1.1497793530280394,type1
5.4098357188328725,2.7698118505294986,2.83467116184186,0.27962768818053285,type3
5.168950309598654,3.97189595840989,2.4239265156654914,0.704604558070359,type3
5.423541653824834,3.3225851795967447,4.024693064198125,1.2360229902004747,type3
6.599783757692721,2.179188687737229,4.3614905173678,0.5460858423841961,type3
6.112863421017538,3.1301753553508536,7.062060677019959,0.9077377863853326,type2
5.400299030873358,2.765431820149593,5.432745955207448,1.9647825350029748,type1
6.266011969484086,3.4165463339623763,2.7446495660341705,0.761562179162407,type3
5.920574365958873,2.7092160824739384,2.1787901784268895,1.8351260051695077,type2
6.643975342142298,3.000663330169233,4.62577774185145,0.3414227904602102,type1
5.257295932081798,3.2671445299615964,1.4363895556436694,1.602651175215615,type1
5.568040418323852,3.4222747334931523,6.983367427903662,2.295592151700004,type1
5.514550232900309,2.533872544966016,5.8358146124694645,-0.6784498200967399,type1
4.625282593050342,2.906164468588392,2.9342508522957194,0.5943596058424376,type3
6.085779829963598,2.8457735162007887,0.7448832288000555,1.6385748166572105,type3
6.056675875909308,2.769068429993304,6.142815378531127,1.0456855066073256,type2
5.844244169013242,3.8091453233208714,3.5584098723553925,1.4820708637621947,type2
5.6452926792986275,3.2241421357132105,5.938556709073293,0.7409712580959763,type2
4.665242284098156,2.5078198996359307,0.9538073205219137,1.2658082384794038,type1
5.490864382104752,3.4446806372335534,2.70509995960136,1.0816853011020195,type1
5.555546951282781,3.962527164715432,3.769228911504002,2.0875143668614538,type3
5.174109866546056,3.493960062036993,3.842685845025946,1.3933598409089218,type1
5.706132859317212,2.396670914639774,2.967884770196531,1.4565780231771537,type1
6.175362211156067,2.8417793486675116,4.856215880931598,0.8869735057469248,type1
7.40553429800474,3.5947717941502475,1.8809880442866336,0.8294192697049049,type2
5.984899584650426,2.745702129783924,3.5094121063625234,0.8712557772570881,type2
6.0537668242998945,3.240842354102878,3.9717203118129416,1.4997836282075054,type3
5.7782098899140815,3.3830926429746144,4.665412347943398,0.8800517945766001,type1
4.247419891301796,2.651419897221424,5.012442185436446,1.4202288912412737,type1
5.81799348337715,3.024404096893426,1.78062991836535,2.7773046069705334,type3
5.889991074251052,1.6562550437702985,1.0599590595053043,1.8620547746080862,type1
7.884490953362787,2.6095133142262554,6.008711206541376,0.9522221155524406,type1
5.680340399231668,2.9413956949009408,4.344872661084081,2.112922580844598,type2
6.090284294136898,2.513453231755115,2.4426636956604657,0.8898627165036209,type3
5.811189231144648,3.751936860690603,6.49002747691964,-0.3489746467351691,type3
4.869997228775788,2.435039207476928,3.963587356355431,0.43385440370277284,type3
6.788542936047467,2.860780870720297,5.835563043952334,-0.2218018599796503,type3
6.464104417130022,3.1062184482330193,3.8788325272817916,0.9328497521286054,type2
6.496556516045729,3.6697475142984297,7.386916347792297,1.2139979681840591,type2
5.085208412520367,2.432579274992841,6.849399882700039,2.474092357329215,type1
7.004319278076962,3.5501604134266325,3.3218230986768305,1.4484648040607635,type1
4.676463617882407,3.054400216238422,5.4699648736796656,1.033483598105263,type1
6.3270913878542245,2.627951280049381,4.895861671269859,1.8303482416994519,type1
7.658078169422282,3.2487044939332064,6.168791541256933,-0.4804628348459927,type2
5.0178548501415285,3.135595669096592,2.061734709379016,1.37906706416251,type3
5.369972884429699,2.791906742821718,4.967450569597253,1.7858575473540947,type2
5.922710633022742,3.080014896545708,5.622827096855274,0.07627445320732029,type1
5.4221152070835545,2.884315153349443,0.6646185038953187,2.0692530728372662,type2
4.55294935221511,3.0988124584580365,1.6774650177082355,1.4572572696957546,type3
5.896907269089002,3.33471619004405,0.17095136714222292,0.8843811854353909,type3
4.958287917607333,3.7319872309425013,3.285843971377578,1.6809142182407764,type2
6.233081717427201,2.5177393355044546,5.022874370200894,2.9257265719313406,type2
5.076877885585944,3.9672043511021946,6.404148411689009,1.3382183538444563,type2
7.126445556164557,2.210602246205324,3.890406813538804,1.3886476455882555,type1
5.189899767360923,2.984732409134699,6.626363360205474,0.8508857163494143,type2
5.5726889415492895,3.302976398788368,1.3310214335417911,0.5541182792067582,type2
6.515219290416826,3.170826503126064,0.7620469067349274,1.8310552205736266,type2
4.818382617359817,2.7822392064771444,3.6622360499419506,0.5493762923092609,type3
6.028791745721427,2.9605074323463714,4.43595519013318,1.2543903402867382,type3
6.924928486054415,2.8380095980967015,3.702457243354396,0.8369803404585112,type1
4.505788915314181,2.7965731545139887,0.1213019039298171,1.5640246675672578,type1
5.9932461025818125,3.4153289017190405,3.6031487304574923,1.4535832000180806,type3
6.055702719226192,3.20351665896497,1.464133679111458,1.9885303576360034,type3
6.488912983575167,2.7520488740379188,4.938623685940867,0.8123875368703922,type3
4.813330909971192,3.4368279464362974,4.405212913130453,0.9948950491770379,type2
4.744021011140051,3.1821387939769417,2.1058115760638545,0.4561395760054463,type2
6.2732114994620245,3.399530711100753,2.855594225487419,0.8623371223421552,type3
6.086497278783544,3.320740402027153,1.895784201475445,1.4867483747140877,type2
